"id","station_id","train_id","line","route","color","destination","time_estimated","destination_time","updated_at"
"AC-2400","AC","2400","COMMUTER LINE TANJUNGPRIUK","JAKARTAKOTA-TANJUNGPRIUK","#DD0067","TANJUNGPRIUK","06:07:00","06:16:00","2024-03-16T17:00:08.063Z"
"AC-2401","AC","2401","COMMUTER LINE TANJUNGPRIUK","TANJUNGPRIUK-JAKARTAKOTA","#DD0067","JAKARTAKOTA","06:34:00","06:42:00","2024-03-16T17:00:08.063Z"
"AC-2402","AC","2402","COMMUTER LINE TANJUNGPRIUK","JAKARTAKOTA-TANJUNGPRIUK","#DD0067","TANJUNGPRIUK","06:24:00","06:33:00","2024-03-16T17:00:08.063Z"
"AC-2403","AC","2403","COMMUTER LINE TANJUNGPRIUK","TANJUNGPRIUK-JAKARTAKOTA","#DD0067","JAKARTAKOTA","06:50:00","06:58:00","2024-03-16T17:00:08.063Z"
"AC-2404","AC","2404","COMMUTER LINE TANJUNGPRIUK","JAKARTAKOTA-TANJUNGPRIUK","#DD0067","TANJUNGPRIUK","06:43:00","06:52:00","2024-03-16T17:00:08.063Z"
"AC-2405","AC","2405","COMMUTER LINE TANJUNGPRIUK","TANJUNGPRIUK-JAKARTAKOTA","#DD0067","JAKARTAKOTA","07:10:00","07:18:00","2024-03-16T17:00:08.063Z"
"AC-2406","AC","2406","COMMUTER LINE TANJUNGPRIUK","JAKARTAKOTA-TANJUNGPRIUK","#DD0067","TANJUNGPRIUK","07:01:00","07:10:00","2024-03-16T17:00:08.063Z"
"AC-2407","AC","2407","COMMUTER LINE TANJUNGPRIUK","TANJUNGPRIUK-JAKARTAKOTA","#DD0067","JAKARTAKOTA","07:28:00","07:36:00","2024-03-16T17:00:08.063Z"
"AC-2408","AC","2408","COMMUTER LINE TANJUNGPRIUK","JAKARTAKOTA-TANJUNGPRIUK","#DD0067","TANJUNGPRIUK","07:19:00","07:28:00","2024-03-16T17:00:08.063Z"
"AC-2409","AC","2409","COMMUTER LINE TANJUNGPRIUK","TANJUNGPRIUK-JAKARTAKOTA","#DD0067","JAKARTAKOTA","07:46:00","07:54:00","2024-03-16T17:00:08.063Z"
"AC-2410","AC","2410","COMMUTER LINE TANJUNGPRIUK","JAKARTAKOTA-TANJUNGPRIUK","#DD0067","TANJUNGPRIUK","07:37:00","07:46:00","2024-03-16T17:00:08.063Z"
"AC-2411","AC","2411","COMMUTER LINE TANJUNGPRIUK","TANJUNGPRIUK-JAKARTAKOTA","#DD0067","JAKARTAKOTA","08:04:00","08:12:00","2024-03-16T17:00:08.063Z"
"AC-2412","AC","2412","COMMUTER LINE TANJUNGPRIUK","JAKARTAKOTA-TANJUNGPRIUK","#DD0067","TANJUNGPRIUK","07:55:00","08:04:00","2024-03-16T17:00:08.063Z"
"AC-2413","AC","2413","COMMUTER LINE TANJUNGPRIUK","TANJUNGPRIUK-JAKARTAKOTA","#DD0067","JAKARTAKOTA","08:21:00","08:29:00","2024-03-16T17:00:08.063Z"
"AC-2414","AC","2414","COMMUTER LINE TANJUNGPRIUK","JAKARTAKOTA-TANJUNGPRIUK","#DD0067","TANJUNGPRIUK","08:13:00","08:22:00","2024-03-16T17:00:08.063Z"
"AC-2415","AC","2415","COMMUTER LINE TANJUNGPRIUK","TANJUNGPRIUK-JAKARTAKOTA","#DD0067","JAKARTAKOTA","08:40:00","08:48:00","2024-03-16T17:00:08.063Z"
"AC-2416","AC","2416","COMMUTER LINE TANJUNGPRIUK","JAKARTAKOTA-TANJUNGPRIUK","#DD0067","TANJUNGPRIUK","08:31:00","08:40:00","2024-03-16T17:00:08.063Z"
"AC-2417","AC","2417","COMMUTER LINE TANJUNGPRIUK","TANJUNGPRIUK-JAKARTAKOTA","#DD0067","JAKARTAKOTA","08:58:00","09:06:00","2024-03-16T17:00:08.063Z"
"AC-2418","AC","2418","COMMUTER LINE TANJUNGPRIUK","JAKARTAKOTA-TANJUNGPRIUK","#DD0067","TANJUNGPRIUK","08:49:00","08:58:00","2024-03-16T17:00:08.063Z"
"AC-2419","AC","2419","COMMUTER LINE TANJUNGPRIUK","TANJUNGPRIUK-JAKARTAKOTA","#DD0067","JAKARTAKOTA","09:16:00","09:24:00","2024-03-16T17:00:08.063Z"
"AC-2420","AC","2420","COMMUTER LINE TANJUNGPRIUK","JAKARTAKOTA-TANJUNGPRIUK","#DD0067","TANJUNGPRIUK","09:07:00","09:16:00","2024-03-16T17:00:08.063Z"
"AC-2421","AC","2421","COMMUTER LINE TANJUNGPRIUK","TANJUNGPRIUK-JAKARTAKOTA","#DD0067","JAKARTAKOTA","09:34:00","09:42:00","2024-03-16T17:00:08.063Z"
"AC-2422","AC","2422","COMMUTER LINE TANJUNGPRIUK","JAKARTAKOTA-TANJUNGPRIUK","#DD0067","TANJUNGPRIUK","09:25:00","09:34:00","2024-03-16T17:00:08.063Z"
"AC-2423","AC","2423","COMMUTER LINE TANJUNGPRIUK","TANJUNGPRIUK-JAKARTAKOTA","#DD0067","JAKARTAKOTA","09:52:00","10:00:00","2024-03-16T17:00:08.063Z"
"AC-2424","AC","2424","COMMUTER LINE TANJUNGPRIUK","JAKARTAKOTA-TANJUNGPRIUK","#DD0067","TANJUNGPRIUK","09:43:00","09:52:00","2024-03-16T17:00:08.063Z"
"AC-2425","AC","2425","COMMUTER LINE TANJUNGPRIUK","TANJUNGPRIUK-JAKARTAKOTA","#DD0067","JAKARTAKOTA","10:10:00","10:18:00","2024-03-16T17:00:08.063Z"
"AC-2426","AC","2426","COMMUTER LINE TANJUNGPRIUK","JAKARTAKOTA-TANJUNGPRIUK","#DD0067","TANJUNGPRIUK","10:01:00","10:10:00","2024-03-16T17:00:08.063Z"
"AC-2427","AC","2427","COMMUTER LINE TANJUNGPRIUK","TANJUNGPRIUK-JAKARTAKOTA","#DD0067","JAKARTAKOTA","10:28:00","10:36:00","2024-03-16T17:00:08.063Z"
"AC-2428","AC","2428","COMMUTER LINE TANJUNGPRIUK","JAKARTAKOTA-TANJUNGPRIUK","#DD0067","TANJUNGPRIUK","10:19:00","10:28:00","2024-03-16T17:00:08.063Z"
"AC-2429","AC","2429","COMMUTER LINE TANJUNGPRIUK","TANJUNGPRIUK-JAKARTAKOTA","#DD0067","JAKARTAKOTA","10:46:00","10:54:00","2024-03-16T17:00:08.063Z"
"AC-2430","AC","2430","COMMUTER LINE TANJUNGPRIUK","JAKARTAKOTA-TANJUNGPRIUK","#DD0067","TANJUNGPRIUK","10:37:00","10:46:00","2024-03-16T17:00:08.063Z"
"AC-2431","AC","2431","COMMUTER LINE TANJUNGPRIUK","TANJUNGPRIUK-JAKARTAKOTA","#DD0067","JAKARTAKOTA","11:04:00","11:12:00","2024-03-16T17:00:08.063Z"
"AC-2432","AC","2432","COMMUTER LINE TANJUNGPRIUK","JAKARTAKOTA-TANJUNGPRIUK","#DD0067","TANJUNGPRIUK","10:55:00","11:04:00","2024-03-16T17:00:08.063Z"
