"id","name","daop","fg_enable","have_schedule","updated_at"
"AC","ANCOL",1,1,True,"2024-03-10T15:15:19.997Z"
"AK","ANGKE",1,1,True,"2024-03-10T15:15:19.997Z"
"BBN","BRAMBANAN",6,1,True,"2024-03-10T15:15:19.997Z"
"BD","BANDUNG",2,1,False,"2024-03-10T15:15:19.997Z"
"BJD","BOJONGGEDE",1,1,True,"2024-03-10T15:15:19.997Z"
"BKS","BEKASI",1,1,True,"2024-03-10T15:15:19.997Z"
"BKST","BEKASITIMUR",1,1,True,"2024-03-10T15:15:19.997Z"
"BOI","BOJONGINDAH",1,1,True,"2024-03-10T15:15:19.997Z"
"BOO","BOGOR",1,1,True,"2024-03-10T15:15:19.997Z"
"BPR","BATUCEPER",1,1,True,"2024-03-10T15:15:19.997Z"
"BST","BANDARASOEKARNOHATTA",1,1,True,"2024-03-10T15:15:19.997Z"
"BUA","BUARAN",1,1,True,"2024-03-10T15:15:19.997Z"
"CA","CIGANEA",2,1,False,"2024-03-10T15:15:19.997Z"
"CB","CIBATU",2,1,False,"2024-03-10T15:15:19.997Z"
"CBN","CIBINONG",1,1,True,"2024-03-10T15:15:19.997Z"
"CBR","CIBUNGUR",2,1,False,"2024-03-10T15:15:19.997Z"
"CC","CICAYUR",1,1,True,"2024-03-10T15:15:19.997Z"
"CCL","CICALENGKA",2,1,False,"2024-03-10T15:15:19.997Z"
"CD","CIKADONGDONG",2,1,False,"2024-03-10T15:15:19.997Z"
"CE","CEPER",6,1,True,"2024-03-10T15:15:19.997Z"
"CIT","CIBITUNG",1,1,True,"2024-03-10T15:15:19.997Z"
"CJT","CILEJIT",1,1,True,"2024-03-10T15:15:19.997Z"
"CKI","CIKINI",1,1,True,"2024-03-10T15:15:19.997Z"
"CKP","CIKAMPEK",2,1,False,"2024-03-10T15:15:19.997Z"
"CKR","CIKARANG",1,1,True,"2024-03-10T15:15:19.997Z"
"CKY","CIKOYA",1,1,True,"2024-03-10T15:15:19.997Z"
"CLE","CILAME",2,1,False,"2024-03-10T15:15:19.997Z"
